Brand List 1;Matched Brand List 2;Match Score
3m;3m batiment bricolage et;100
a2c;a2c granulat;100
abritec;abritec;100
abritec;aric;73
achard;achard cie et lyon;100
aco;aco sas;100
aco;apco;86
acquabella construplas;acquabella construplas sl;100
actis;actis;100
adequa;adequa l s ws;100
adequa;ardea;73
adg;adg industriel;100
adg;ag;80
adles doo;adles;100
aerodek;eurodef;71
afbat;afbat industrie sas tb;100
afbat;fba;75
afitex;afitexinov;75
afriso;airis;73
ahi roofing;ahi gerard roofing tuiles;100
aigis;airis;80
airelec;ermelec;71
alberts;alberts and gmbh gust;100
aldes;adles;80
aldes;halder;73
aleluia ceramicas;aleluia ceramicas;100
aleluia ceramicas;aleluia ceramicas;100
alentour;alentour;100
algimouss;algimouss;100
aliaxis industry utilities;aliaxis ind utilities;89
aliaxis industry utilities;gmerit industry;70
alkern;alkern;100
allaine;aurlane;71
allin sas;brilliant sas;73
allin sas;flamino sas;70
allin sas;haemmerlin sas;70
alpsciage;alp sciage;95
alsafix;alsafix;100
alsaflooring;alsaflooring;100
alterna;alkern;77
altrad;altrad denis st;100
altrad;altripan;71
altrad denis saint;altrad denis st;91
altripan;altripan;100
amelux;armex;73
ampack;ag ampack;100
ampack;ampilhac;71
anhydritec;abritec;71
ante holz;ante gmbh holz kg;100
apco;apco;100
aperam services stainless;ba services;84
apic;apco;75
apic;aric;75
aquitaine cloture;aquitaine plastiques;76
aquitaine cloture;aquitaine fimurex;76
arcelor mittal;arcelormittal wire;81
arcelormittal;arcelormittal constructio;100
arcelormittal;arcelormittal wire;100
arco;apco;75
arco;aric;75
ardea;ardea;100
ardex;ardea;80
ardex;armex;80
argenta ceramica;aleluia ceramicas;73
aric;abritec;73
aric;aric;100
ariegeoise de materiaux;gea materiaux;82
ariston;ariston cfmt;100
ariston;ariston thermo;100
ariston thermo;ariston cfmt;74
ariston thermo;ariston thermo;100
ariston chaff styx;ariston cfmt;74
armeton;frameto;71
armor panneaux;decors egger et panneaux;73
arpa;arpa;100
arte design;arteon siege;70
arte design;birkenmeier design stein;71
arte home;gaz home;71
arte one;arteon siege;70
artiplastic;hortiplast;76
as bois;abm aix bois materiaux;73
as bois;arc bois;80
as bois;bois dauphine du;73
as bois;bois de et sciages sougy;73
as bois;bois des massif savoies;73
as bois;bois plus woodplus;73
as bois;bois diffusion techniques;73
as bois;bois fp sas;78
as bois;bois impregnes;73
as bois;bois gouttesolard;73
as bois;bois industrie vielsalm;73
aspen;aspen sas;100
aspen;aspire;73
abloy assa glass solutions;amd solutions;82
atelier bain du;atelier bain du industrie;100
atlantic sauter;acta atlantic commerce;70
atlas concorde;atlas concorde spa;100
audoin et fils;dumont et fils;79
aluminium av;alfer aluminium;86
avel diffusion;alpes diffusion en gros;78
avel diffusion;bois diffusion techniques;78
avm menuiseries;batiment menuiserie servi;70
azteca ceramica;aleluia ceramicas;75
azteca ceramica;ceramica cifre sl;70
armature ba services;ba services;100
bacacier;auver bacacier profilage;100
bacacier;bacacier gasc profilage;100
bacacier;auver bacacier profilage;100
bacacier;bacacier gasc profilage;100
baglione;balneo;71
baillindustrie;adg industriel;71
baillindustrie;biocama industrie;71
balneo;alveo;73
balneo;balneo;100
baobag;baobag;100
barwolf sarl;bonar sarl;73
bati import orient;bao brezins import;72
batichap;batichap;100
batichap;beauchamp;71
bauma stone;bauma stone;100
baumit;baumit sas;100
bbci;bbci bonnefoy;100
beissier;beissier sas;100
bermaplast;bermaplast;100
bearn controle du;ardec controle gard;72
alpes rhone;alpes barciet rhone;100
betons granulats occitans;betons occitans;100
betons granulats occitans;dp granulats;86
betons granulats occitans;eqiom granulats;75
betons granulats occitans;esbtp granulats;75
betons granulats occitans;granulats vicat;75
bhs de haute la seine;de haute la seine;100
biorock;biorock sarl;100
birco;birco;100
birkenmeier;birkenmeier design stein;100
blanchon;blanchon;100
blanco;blanchon;86
blocfer;baldocer;80
boehm cie michel;boehm cie;100
bois dauphine du;bois dauphine du;100
bois materiaux ouest sud;abm aix bois materiaux;78
bois materiaux ouest sud;betons cemex ouest sud;74
bois materiaux ouest sud;gea materiaux;82
bonna sabla;bonar sarl;76
bonna sabla;bonna sabla;100
bostik;bostik;100
bostik;bostik colle dep;100
bostitch;bostik;71
bouyer leroux;bouyer leroux;100
bradstone;bauma stone;70
bradstone;creastone;78
brennenstuhl;brennenstuhl h;100
bourgogne bresse carrieres;bgne bresse c2b carrieres;82
bourgogne bresse carrieres;bourgogne carriere sud;79
bourgogne bresse carrieres;blanc carrieres;75
bourgogne bresse carrieres;carrieres mbtp;78
bourgogne bresse carrieres;carrieres thomas;72
bricodeal sas;britexco sas;72
bricodeal sas;ireal sas;73
bubendorff;bubendorff sas;100
burger;burger cie et;100
caby cie et;achard cie et lyon;71
caby cie et;burger cie et;71
caby cie et;catteau cie et;72
caby cie et;chaperon cie et;71
caby cie et;cie daniel et muller;71
caby cie et;cie et guillemette;71
cahors;kahrs;73
calcia;calcia ciments;100
cantillana;cantillana;100
carmen;areny;73
carmen;armex;73
atard carriere de la roche;carriere de tignieu;73
carriere de marlens;carriere de tignieu;73
carriere de marlens;carriere et voirie;70
carriere de marlens;carrieres dodet spase;70
carriere de marlens;carrieres laurent st;72
carriere de lubin saint;carriere de tignieu;73
carriere de lubin saint;carrieres laurent st;70
blanc carriere cheval du;blanc carriere cheval du;100
blanc carriere cheval du;blanc carrieres;72
carriere fils;bassin carriere rhonalpin;76
carriere fils;bourgogne carriere sud;76
carriere fils;carriere de tignieu;76
carriere fils;blanc carriere cheval du;76
carriere fils;carriere et voirie;76
carriere fils;carrieres lafitte;73
carriere thebault;carrieres mbtp;71
carriere thebault;carrieres thomas;73
ballast carrieres devaux ndie;blanc carrieres;75
ballast carrieres devaux ndie;carrieres mbtp;78
ballast carrieres devaux ndie;carrieres thomas;72
ballast carrieres devaux ndie;alp ballast carrieres des;81
carrieres de montdardier;carriere de tignieu;70
carrieres de montdardier;carriere et voirie;71
carrieres de montdardier;blanc carrieres;75
carrieres de montdardier;carrieres de ss thiviers;71
carrieres de montdardier;carrieres mbtp;78
carrieres de montdardier;carrieres thomas;72
carrieres de montdardier;carrieres delmonico dorel;73
carrieres de mouen;carriere de tignieu;70
carrieres de mouen;carriere et voirie;72
carrieres de mouen;blanc carrieres;75
carrieres de mouen;carrieres de ss thiviers;80
carrieres de mouen;carrieres dodet spase;72
carrieres de mouen;carrieres delage la loire;70
carrieres de mouen;carrieres mbtp;78
carrieres de mouen;carrieres thomas;72
carrieres de mouen;carrieres delmonico dorel;70
carrieres dodet;bgne bresse c2b carrieres;75
carrieres dodet;carriere de tignieu;71
carrieres dodet;blanc carrieres;75
carrieres dodet;carrieres de ss thiviers;75
carrieres dodet;carrieres dodet spase;100
carrieres dodet;carrieres delage la loire;75
carrieres dodet;carrieres lafitte;75
carrieres dodet;carrieres mbtp;78
carrieres dodet;carrieres mt st vincent;75
carrieres dodet;carrieres laurent st;75
carrieres dodet;carrieres thomas;75
carrieres dodet;alp ballast carrieres des;75
carrieres dodet;carrieres delmonico dorel;75
carrieres du montluconnais;blanc carrieres;75
carrieres du montluconnais;carrieres mbtp;78
carrieres du montluconnais;carrieres thomas;72
carrieres lama;bgne bresse c2b carrieres;78
carrieres lama;blanc carrieres;83
carrieres lama;carrieres de ss thiviers;78
carrieres lama;carrieres dodet spase;78
carrieres lama;carrieres delage la loire;78
carrieres lama;carrieres lafitte;78
carrieres lama;carrieres mbtp;79
carrieres lama;carrieres mt st vincent;78
carrieres lama;carrieres laurent st;78
carrieres lama;carrieres thomas;80
carrieres lama;alp ballast carrieres des;78
carrieres lama;carrieres delmonico dorel;78
carrieres noyant;bgne bresse c2b carrieres;72
carrieres noyant;blanc carrieres;77
carrieres noyant;carrieres de ss thiviers;72
carrieres noyant;carrieres dodet spase;72
carrieres noyant;carrieres delage la loire;72
carrieres noyant;carrieres lafitte;73
carrieres noyant;carrieres mbtp;78
carrieres noyant;carrieres mt st vincent;72
carrieres noyant;carrieres laurent st;72
carrieres noyant;carrieres thomas;75
carrieres noyant;alp ballast carrieres des;72
carrieres noyant;carrieres delmonico dorel;72
carrieres tiviers;carriere de tignieu;72
carrieres tiviers;carriere et voirie;74
carrieres tiviers;blanc carrieres;75
carrieres tiviers;carrieres de ss thiviers;83
carrieres tiviers;carrieres lafitte;71
carrieres tiviers;carrieres mbtp;78
carrieres tiviers;carrieres mt st vincent;70
carrieres tiviers;carrieres thomas;73
carrieres tiviers;charges divers;71
carrierres des noes;carriere de tignieu;74
carrierres des noes;carriere et voirie;70
carrierres des noes;carrieres de ss thiviers;74
carrierres des noes;carrieres dodet spase;70
casalgrande;amarande;74
castagne;creastone;71
catteau cie;catteau cie et;100
cedam;cem;75
cellaouate distribution;arma distribution sarl;71
cellaouate distribution;bao redistribution;73
cellaouate distribution;bjs distribution;86
cellaouate distribution;cge distribution;86
cellaouate distribution;distribution f1;89
cellaouate distribution;distribution felix;80
cellaouate distribution;71 distribution fg;80
cellaouate distribution;distribution g3;89
cellaouate distribution;distribution godart;77
cellaouate distribution;distribution graf sas;73
cellaouate distribution;distribution jp outillage;71
cem;cem;100
cementval;cementval;100
cemex;cem;75
cemex;betons cemex est sud;100
cemex;betons cemex ouest sud;100
cemex;cemex gra mediterranee rh;100
cemex;cemex granulats ouest sud;100
cemex;cermix;73
betons cemex;betons cemex est sud;100
betons cemex;betons cemex ouest sud;100
centaure;cdh centaure;100
century;century fincibec spa;100
ceralit;ceragni;71
ceralit;feralpi;71
ceramic;ceragni;71
ceramic;cermix;77
ceramic;ceramic gresmalt gruppo;100
ceramiche provenza;ceramiche ermes spa;70
cerim;cem;75
cerim;cermix;73
cermix;cermix;100
cesa;campesa;73
cesa;ceba;75
cesa;astier cesa st;100
ceta;ceba;75
cetih;cetih machecoul;100
chabanne;antoine chabanne;100
chaplain;chaplain;100
chapuis;chapuis jean;100
charretier michel;charretier ets sas;74
carrieres chenes;bgne bresse c2b carrieres;72
carrieres chenes;blanc carrieres;75
carrieres chenes;carrieres de ss thiviers;72
carrieres chenes;carrieres dodet spase;72
carrieres chenes;carrieres delage la loire;72
carrieres chenes;carrieres lafitte;72
carrieres chenes;carrieres mbtp;78
carrieres chenes;carrieres mt st vincent;72
carrieres chenes;carrieres laurent st;72
carrieres chenes;carrieres thomas;75
carrieres chenes;alp ballast carrieres des;72
carrieres chenes;carrieres delmonico dorel;72
cic;cinca;75
cime;cmse;75
cime;imer;75
cinca;cinca;100
cipriani profilati;cipriani profilati sb srl;100
clesse;eclisse;77
clotex;cogex;73
cmgo;cmgo;100
cmse;cmse;100
cmse perasso;bronzo perasso;74
cmse perasso;cmse;100
cofrasud;cofra srl;71
cofrasud;cofrasud;100
cofratel;cofra srl;71
colas;alpes auvergne colas rh;100
comap;imcoma;73
comap;imcoma;73
chaux compagnie des mortiers;compagnie des pierres;76
calcaires comptoir materiaux;gea materiaux;82
copper distribution;arma distribution sarl;77
copper distribution;bao redistribution;76
copper distribution;bjs distribution;86
copper distribution;cge distribution;86
copper distribution;distribution f1;89
copper distribution;distribution felix;80
copper distribution;71 distribution fg;80
copper distribution;distribution g3;89
copper distribution;distribution godart;79
copper distribution;distribution graf sas;77
copper distribution;distribution jp outillage;77
coramine;containex;71
corbet;corep;73
corderie mesnard;corderie houze;73
corderie tournonaise;corderie houze;73
corderie tournonaise;corderies tournonaises;95
corian;cogra;73
corian;courant;77
cornely freres;cufi freres;71
corstyrene;corstyrene;100
creastone;creastone;100
creaton;creastone;88
crosscall;crosscall;100
crp;corep;75
crp;crp;100
cs;cbs;80
cs;cs;100
csi;cs;80
cupa pizarras;cupa pizarras;100
cupastone;bauma stone;70
cupastone;creastone;78
daca;edac;75
ceramica dado;ceramica cifre sl;76
daken;alkern;73
dalles decors et;decors egger et panneaux;72
daulouede;daulouede ets;100
bois debarge;arc bois;70
debflex;debflex;100
decayeux;decayeux;100
deceuninck;deceuninck sas;100
decoceram;decora;80
decoral;decora;92
decospan;decora;71
decovert;decora;71
defi;cruejouls defi houilleres;100
delmonico dorel;carrieres delmonico dorel;100
delta;delta plus;100
deville industries;diam industries;80
deville industries;dirickx industries;72
des dgo geosynthetiques;des dgo geosynthetiques;100
d huart industrie;adg industriel;71
d huart industrie;ceram industrie;75
d huart industrie;d huart industrie sas;100
d huart industrie;diam industries;75
d huart industrie;drostub industrie;76
d huart industrie;faynot industrie;73
dimos;dimos;100
dimos;dismo;80
dinac;difac;80
dinac;dinac;100
dirickx;dirickx industries;100
disano;dismo;73
disano;dispano;92
discac;difac;73
discac;dinac;73
dispano;dispano;100
distrimat sud;distrimat sl;88
distrimat sud;distrimat sud;100
dma;idmat;75
dmo;dimos;75
dmo;dismo;75
dold holzwerke;dold gmbh holzwerke;100
dold holzwerke;gmbh holzwerke probstl;78
dollken;doerken;71
ceramiche dom;ardesie ceramiche srl;82
ceramiche dom;ascot ceramiche gruppo;82
ceramiche dom;castelvetro ccv ceramiche;82
ceramiche dom;ceramiche ermes spa;82
ceramiche dom;ceramiche imso srl;82
ascot ceramiche dom;ascot ceramiche gruppo;88
ascot ceramiche dom;ceramiche imso srl;70
doerken dorken;doerken;100
drostub;drostub industrie;100
dichtunggstechnik ds;dichtungstechnik ds gmbh;86
duarib;duarib;100
dubois nv stockmans;dubois;100
ducerf;ducerf holding;100
durieu;durieu;100
dyka;dyka gaillon;100
dyka;dyka sas;100
eclisse;eclisse;100
edac;edac;100
edil fibro;edilfibro;95
edilians;edilians siege;100
edilians;edilians tech;100
edilians tech;edilians siege;76
edilians tech;edilians tech;100
edilteco;edilteco;100
edma;edac;75
edma;edma sas;100
egger;egger holzwerkstoffe;100
egger;decors egger et panneaux;100
egger;hegler;73
egger panneaux;decors egger et panneaux;100
distribution eid;arma distribution sarl;86
distribution eid;bao redistribution;71
distribution eid;bjs distribution;86
distribution eid;cge distribution;88
distribution eid;distribution f1;89
distribution eid;distribution felix;88
distribution eid;71 distribution fg;86
distribution eid;distribution g3;89
distribution eid;distribution godart;86
distribution eid;distribution graf sas;86
distribution eid;distribution jp outillage;86
ej;ej;100
elba;ceba;75
elevate;alpex elevate;100
ceramica elias;ceramica cifre sl;73
elydan;elydan sas;100
emac;edac;75
emilceramica;emilceramica srl;100
emilceramica l r s;ecoceramic l s u;76
emilceramica l r s;emilceramica srl;86
eoliance;eoliance residentiel;100
ep grit power;ep grit power;100
epdm;epdm mediterranee;100
epdm;epdm provence;100
ephrem;ephrem fusion;100
ephrem;eurem;73
betons eqiom;eqiom;100
ciments eqiom;calcia ciments;70
ciments eqiom;eqiom;100
eqiom granulats;cemex granulats ouest sud;75
eqiom granulats;denjean granulats;75
eqiom granulats;denjean granulats nord;75
eqiom granulats;domitia granulats;75
eqiom granulats;dp granulats;86
eqiom granulats;durance granulats;75
eqiom granulats;eqiom;100
eqiom granulats;eqiom granulats;100
eqiom granulats;cote d eqiom granulats or;100
eqiom granulats;esbtp granulats;75
eqiom granulats;auv bourgogne granulats;75
eqiom granulats;de granulats haute marne;75
eqiom granulats;comte franche granulats;75
eqiom granulats;granulats vicat;75
eqiom granulats;granulats gsm pessac;75
ceramicas equipe;aleluia ceramicas;79
ceramicas equipe sl;aleluia ceramicas;72
ceramicas equipe sl;ceramica cifre sl;78
equitone;equipstore;78
ergon;bergon;91
ermelec;ermelec;100
ermes;ceramiche ermes spa;100
aluminium espace;alfer aluminium;77
aluminium espace;elec espace;71
etablissement gintrat;cozzi etablissement;81
